Date,AAPL,CRM,FB,GOOG,HD,KO,LOW,MCD,MSFT,NKE,SBUX,TGT,TSLA,TWTR
2015-01-02,27.332500457763672,59.2400016784668,78.44999694824219,523.3731079101562,103.43000030517578,42.13999938964844,67.69999694824219,93.26000213623047,46.7599983215332,47.51499938964844,40.720001220703125,75.33000183105469,43.86199951171875,36.560001373291016
2015-01-05,26.5625,58.16999816894531,77.19000244140625,512.4630126953125,101.26000213623047,42.13999938964844,66.08000183105469,92.2300033569336,46.33000183105469,46.75,39.939998626708984,73.9800033569336,42.018001556396484,36.380001068115234
2015-01-06,26.565000534057617,57.20000076293945,76.1500015258789,500.58563232421875,100.94999694824219,42.459999084472656,66.2300033569336,92.4000015258789,45.650001525878906,46.474998474121094,39.6150016784668,73.97000122070312,42.25600051879883,38.7599983215332
2015-01-07,26.9375,56.93000030517578,76.1500015258789,499.7279968261719,104.41000366210938,42.9900016784668,68.19999694824219,94.01000213623047,46.22999954223633,47.435001373291016,40.59000015258789,76.7699966430664,42.189998626708984,37.279998779296875
2015-01-08,27.97249984741211,58.59000015258789,78.17500305175781,501.3036804199219,106.72000122070312,43.5099983215332,69.63999938964844,94.36000061035156,47.59000015258789,48.529998779296875,41.244998931884766,77.12999725341797,42.124000549316406,39.09000015258789
2015-01-09,28.002500534057617,58.15999984741211,77.73999786376953,494.8114929199219,104.88999938964844,43.029998779296875,68.33000183105469,93.20999908447266,47.189998626708984,47.994998931884766,39.89500045776367,76.43000030517578,41.332000732421875,40.16999816894531
2015-01-12,27.3125,57.72999954223633,76.72000122070312,491.201416015625,104.41999816894531,42.63999938964844,67.8499984741211,93.01000213623047,46.599998474121094,47.93000030517578,40.1150016784668,76.62999725341797,40.44200134277344,39.369998931884766
2015-01-13,27.55500030517578,57.970001220703125,76.44999694824219,494.82147216796875,103.7300033569336,42.630001068115234,67.86000061035156,92.83000183105469,46.36000061035156,47.505001068115234,40.435001373291016,75.94999694824219,40.849998474121094,39.650001525878906
2015-01-14,27.450000762939453,57.25,76.27999877929688,499.4986267089844,102.63999938964844,42.560001373291016,67.38999938964844,91.54000091552734,45.959999084472656,46.85499954223633,40.209999084472656,74.33000183105469,38.53799819946289,39.849998474121094
2015-01-15,26.704999923706055,55.11000061035156,74.05000305175781,500.4161071777344,101.01000213623047,42.380001068115234,66.3499984741211,91.37999725341797,45.47999954223633,46.404998779296875,39.790000915527344,75.66999816894531,38.374000549316406,36.93000030517578
2015-01-16,26.497499465942383,56.63999938964844,75.18000030517578,506.6888732910156,104.12000274658203,42.529998779296875,67.98999786376953,91.48999786376953,46.2400016784668,46.494998931884766,40.30500030517578,74.94000244140625,38.61399841308594,37.310001373291016
2015-01-20,27.18000030517578,57.290000915527344,76.23999786376953,505.5121154785156,103.25,43.15999984741211,66.5199966430664,90.80000305175781,46.38999938964844,46.80500030517578,40.61000061035156,73.66999816894531,38.38600158691406,37.56999969482422
2015-01-21,27.387500762939453,57.709999084472656,76.73999786376953,516.6216430664062,103.52999877929688,43.36000061035156,67.31999969482422,90.33999633789062,45.91999816894531,46.755001068115234,40.64500045776367,73.94999694824219,39.31399917602539,37.83000183105469
2015-01-22,28.100000381469727,58.0,77.6500015258789,532.9268188476562,106.06999969482422,43.779998779296875,69.55000305175781,90.88999938964844,47.130001068115234,47.92499923706055,41.369998931884766,75.7699966430664,40.32400131225586,39.06999969482422
2015-01-23,28.2450008392334,58.619998931884766,77.83000183105469,538.4716186523438,105.37000274658203,43.310001373291016,69.70999908447266,89.55999755859375,47.18000030517578,48.08000183105469,44.11000061035156,75.29000091552734,40.257999420166016,39.41999816894531
2015-01-26,28.274999618530273,59.779998779296875,77.49500274658203,533.74462890625,106.36000061035156,43.0,70.44000244140625,90.66999816894531,47.0099983215332,48.17499923706055,44.060001373291016,75.25,41.310001373291016,40.099998474121094
2015-01-27,27.28499984741211,57.790000915527344,75.77999877929688,517.2100219726562,105.16000366210938,42.38999938964844,69.8499984741211,89.56999969482422,42.65999984741211,47.25,44.16999816894531,74.76000213623047,41.19599914550781,38.91999816894531
2015-01-28,28.827499389648438,56.349998474121094,76.23999786376953,508.6036376953125,104.73999786376953,41.91999816894531,69.22000122070312,88.77999877929688,41.189998626708984,46.654998779296875,43.78499984741211,74.26000213623047,39.874000549316406,37.150001525878906
2015-01-29,29.725000381469727,58.099998474121094,78.0,509.2618103027344,107.62000274658203,42.099998474121094,69.93000030517578,93.2699966430664,42.0099983215332,47.435001373291016,44.525001525878906,75.48999786376953,41.040000915527344,36.68000030517578
2015-01-30,29.290000915527344,56.45000076293945,75.91000366210938,533.0565185546875,104.41999816894531,41.16999816894531,67.76000213623047,92.44000244140625,40.400001525878906,46.125,43.76499938964844,73.61000061035156,40.720001220703125,37.529998779296875
2015-02-02,29.657499313354492,57.279998779296875,74.98999786376953,527.0330200195312,104.43000030517578,41.59000015258789,68.41000366210938,92.51000213623047,41.279998779296875,45.959999084472656,43.994998931884766,74.25,42.1879997253418,37.459999084472656
2015-02-03,29.662500381469727,58.61000061035156,75.4000015258789,527.7909545898438,107.23999786376953,41.630001068115234,69.62999725341797,93.91999816894531,41.599998474121094,46.67499923706055,44.244998931884766,75.87000274658203,43.672000885009766,39.790000915527344
2015-02-04,29.889999389648438,58.9900016784668,75.62999725341797,521.3286743164062,108.41000366210938,41.68000030517578,70.66999816894531,94.05000305175781,41.84000015258789,46.27000045776367,44.349998474121094,75.61000061035156,43.709999084472656,40.720001220703125
